Dataset,Full name dataset,CxG link,h5ad link,Reference_DOI,Bionetworks reference,Bionetworks reference,Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection,Is the dataset Normal or Normal/Diseased,Stage
Dissection: Middle temporal gyrus (MTG),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/015c230d-650c-4527-870d-8a805849a382.cxg/,https://datasets.cellxgene.cziscience.com/5f36898f-78e7-4ba0-950e-a02beca606d4.h5ad,DOI: 10.1126/science.adf6812,,T,T,CrossArea_subclass,cell types,"abbreviations, normal",Astro Chandelier Endo L2/3 IT L4 IT L5 IT L5 ET L5/6 NP L6 CT L6 IT L6 IT Car3 L6b Lamp5 Lamp5 Lhx6 Micro/PVM OPC Oligo Pax6 Pvalb Sncg Sst Sst Chodl VLMC Vip,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Middle temporal gyrus (MTG),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/015c230d-650c-4527-870d-8a805849a382.cxg/,https://datasets.cellxgene.cziscience.com/5f36898f-78e7-4ba0-950e-a02beca606d4.h5ad,DOI: 10.1126/science.adf6812,,T,T,CrossArea_cluster,cell types,"abbreviations, normal",Astro_1 Astro_2 Astro_3 Astro_4 Astro_5 Chandelier_1 Endo_1 Endo_2 L2/3 IT_1 L2/3 IT_5 L2/3 IT_6 L4 IT_1 L4 IT_5 L5 ET_1 L5 ET_2 L5 ET_3 L5 IT_1 L5 IT_2 L5 IT_3 L5 IT_6 L5/6 NP_1 L5/6 NP_4 L5/6 NP_5 L6 CT_1 L6 CT_3 L6 IT Car3_1 L6 IT Car3_2 L6 IT_2 L6b_1 L6b_2 L6b_3 L6b_4 L6b_5 L6b_6 Lamp5_1 Lamp5_2 Lamp5_3 Lamp5_4 Lamp5_5 Lamp5_6 Lamp5_7 Micro/PVM_1 OPC_1 Oligo_1 Oligo_2 Oligo_3 Oligo_4 Pax6_1 Pax6_2 Pax6_3 Pax6_4 Pvalb_1 Pvalb_2 Pvalb_3 Pvalb_4 Pvalb_5 Pvalb_6 Pvalb_7 Pvalb_8 Pvalb_9 Sncg_1 Sncg_2 Sncg_3 Sncg_4 Sncg_5 Sncg_6 Sncg_7 Sncg_8 Sst Chodl_1 Sst_1 Sst_2 Sst_3 Sst_4 Sst_5 Sst_6 Sst_7 Sst_8 Sst_9 Sst_10 Sst_11 Sst_12 Sst_13 Sst_14 Sst_15 Sst_16 Sst_17 Sst_18 Sst_19 Sst_20 Sst_21 Sst_22 Sst_23 Sst_24 Sst_25 Sst_26 Sst_27 Sst_28 Sst_29 VLMC_1 VLMC_2 Vip_1 Vip_2 Vip_3 Vip_4 Vip_5 Vip_6 Vip_7 Vip_8 Vip_9 Vip_10 Vip_11 Vip_12 Vip_13 Vip_14 Vip_15 Vip_16 Vip_17 Vip_18 Vip_19 Vip_20 Vip_21 Vip_22 Vip_23 Vip_24 Vip_25 Vip_26 Vip_27 Vip_28 Vip_29,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Middle temporal gyrus (MTG),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/015c230d-650c-4527-870d-8a805849a382.cxg/,https://datasets.cellxgene.cziscience.com/5f36898f-78e7-4ba0-950e-a02beca606d4.h5ad,DOI: 10.1126/science.adf6812,,T,T,WithinArea_subclass,cell types,"abbreviations, normal",Astro Chandelier Endo L2/3 IT L4 IT L5 ET L5 IT L5/6 NP L6 CT L6 IT L6 IT Car3 L6b Lamp5 Lamp5 Lhx6 Micro/PVM OPC Oligo Pax6 Pvalb Sncg Sst Sst Chodl VLMC Vip,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Middle temporal gyrus (MTG),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/015c230d-650c-4527-870d-8a805849a382.cxg/,https://datasets.cellxgene.cziscience.com/5f36898f-78e7-4ba0-950e-a02beca606d4.h5ad,DOI: 10.1126/science.adf6812,,T,T,WithinArea_cluster,cell types,"abbreviations, normal",Astro_1 Astro_2 Astro_3 Astro_4 Chandelier_1 Endo_1 L2/3 IT_1 L2/3 IT_2 L2/3 IT_3 L2/3 IT_4 L4 IT_1 L4 IT_2 L4 IT_3 L5 ET_1 L5 ET_2 L5 IT_1 L5 IT_2 L5/6 NP_1 L5/6 NP_2 L6 CT_1 L6 CT_2 L6 IT Car3_1 L6 IT_1 L6 IT_2 L6b_1 L6b_2 L6b_3 L6b_4 L6b_5 Lamp5 Lhx6_1 Lmpt5_1 Lmpt5_2 Lmpt5_3 Lmpt5_4 Lmpt5_5 Micro/PVM_1 OPC_1 Oligo_1 Oligo_2 Pax6_1 Pax6_2 Pax6_3 Pax6_4 Pvalb_1 Pvalb_2 Pvalb_3 Pvalb_4 Pvalb_5 Pvalb_6 Pvalb_7 Sncg_1 Sncg_2 Sncg_3 Sncg_4 Sncg_5 Sncg_6 Sncg_7 Sst Chodl_1 Sst Chodl_2 Sst_1 Sst_2 Sst_3 Sst_4 Sst_5 Sst_6 Sst_7 Sst_8 Sst_9 Sst_10 Sst_11 Sst_12 Sst_13 Sst_14 Sst_15 Sst_16 Sst_17 Sst_18 Sst_19 Sst_20 Sst_21 Sst_22 Sst_23 Sst_24 Sst_25 Sst_26 Sst_27 Sst_28 Sst_29 Sst_30 Sst_31 Sst_32 VLMC_1 Vip_1 Vip_2 Vip_3 Vip_4 Vip_5 Vip_6 Vip_7 Vip_8 Vip_9 Vip_10 Vip_11 Vip_12 Vip_13 Vip_14 Vip_15 Vip_16 Vip_17 Vip_18 Vip_19 Vip_20 Vip_21 Vip_22 Vip_23 Vip_24 Vip_25 Vip_26,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Middle temporal gyrus (MTG),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/015c230d-650c-4527-870d-8a805849a382.cxg/,https://datasets.cellxgene.cziscience.com/5f36898f-78e7-4ba0-950e-a02beca606d4.h5ad,DOI: 10.1126/science.adf6812,,T,T,Class,cell types,normal,excitatory inhibitory non-neuronal,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Middle temporal gyrus (MTG),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/015c230d-650c-4527-870d-8a805849a382.cxg/,https://datasets.cellxgene.cziscience.com/5f36898f-78e7-4ba0-950e-a02beca606d4.h5ad,DOI: 10.1126/science.adf6812,,T,T,Layer,other,"abbreviations, normal",All L5,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Middle temporal gyrus (MTG),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/015c230d-650c-4527-870d-8a805849a382.cxg/,https://datasets.cellxgene.cziscience.com/5f36898f-78e7-4ba0-950e-a02beca606d4.h5ad,DOI: 10.1126/science.adf6812,,T,T,Source,other,abbreviations,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Primary auditory cortex(A1),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e2808a6e-e2ea-41b9-b38c-4a08f1677f02.cxg/,https://datasets.cellxgene.cziscience.com/4e2221b4-c204-4c28-bc6a-dcdb73c0d856.h5ad,DOI: 10.1126/science.adf6812,,T,T,CrossArea_subclass,cell types,"abbreviations, normal",Astro Chandelier Endo L2/3 IT L4 IT L5 IT L5/6 NP L6 CT L6 IT L6 IT Car3 L6b Lamp5 Lamp5 Lhx6 Micro/PVM OPC Oligo Pax6 Pvalb Sncg Sst Sst Chodl VLMC Vip,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Primary auditory cortex(A1),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e2808a6e-e2ea-41b9-b38c-4a08f1677f02.cxg/,https://datasets.cellxgene.cziscience.com/4e2221b4-c204-4c28-bc6a-dcdb73c0d856.h5ad,DOI: 10.1126/science.adf6812,,T,T,CrossArea_cluster,cell types,"abbreviations, normal",Astro_1 Astro_2 Astro_3 Astro_4 Astro_5 Chandelier_1 Endo_1 Endo_2 L2/3 IT_1 L2/3 IT_2 L2/3 IT_3 L2/3 IT_4 L2/3 IT_5 L2/3 IT_6 L4 IT_1 L4 IT_2 L4 IT_3 L4 IT_4 L4 IT_5 L5 ET_1 L5 ET_2 L5 ET_3 L5 ET_4 L5 IT_1 L5 IT_2 L5 IT_3 L5 IT_4 L5 IT_5 L5 IT_6 L5/6 NP_1 L5/6 NP_2 L5/6 NP_3 L5/6 NP_4 L5/6 NP_5 L5/6 NP_6 L6 CT_1 L6 CT_2 L6 CT_3 L6 IT Car3_1 L6 IT Car3_2 L6 IT_1 L6 IT_2 L6b_1 L6b_2 L6b_3 L6b_4 L6b_5 L6b_6 Lamp5 Lhx6_1 Lamp5_1 Lamp5_2 Lamp5_3 Lamp5_4 Lamp5_5 Lamp5_6 Lamp5_7 Micro/PVM_1 OPC_1 Oligo_1 Oligo_2 Oligo_3 Oligo_4 Pax6_1 Pax6_2 Pax6_3 Pax6_4 Pvalb_1 Pvalb_2 Pvalb_3 Pvalb_4 Pvalb_5 Pvalb_6 Pvalb_7 Pvalb_8 Pvalb_9 Sncg_1 Sncg_2 Sncg_3 Sncg_4 Sncg_5 Sncg_6 Sncg_7 Sncg_8 Sst Chodl_1 Sst_1 Sst_2 Sst_3 Sst_4 Sst_5 Sst_6 Sst_7 Sst_8 Sst_9 Sst_10 Sst_11 Sst_12 Sst_13 Sst_14 Sst_15 Sst_16 Sst_17 Sst_18 Sst_19 Sst_20 Sst_21 Sst_22 Sst_23 Sst_24 Sst_25 Sst_26 Sst_27 Sst_28 Sst_29 Sst_30 Sst_31 Sst_32 Sst_33 Sst_34 Sst_35 Sst_36 Sst_37 VLMC_1 VLMC_2 Vip_1 Vip_2 Vip_3 Vip_4 Vip_5 Vip_6 Vip_7 Vip_8 Vip_9 Vip_10 Vip_11 Vip_12 Vip_13 Vip_14 Vip_15 Vip_16 Vip_17 Vip_18 Vip_19 Vip_20 Vip_21 Vip_22 Vip_23 Vip_24 Vip_25 Vip_26 Vip_27 Vip_28 Vip_29,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Primary auditory cortex(A1),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e2808a6e-e2ea-41b9-b38c-4a08f1677f02.cxg/,https://datasets.cellxgene.cziscience.com/4e2221b4-c204-4c28-bc6a-dcdb73c0d856.h5ad,DOI: 10.1126/science.adf6812,,T,T,WithinArea_subclass,cell types,"abbreviations, normal",Astro Chandelier Endo L2/3 IT L4 IT L5 ET L5 IT L5/6 NP L6 CT L6 IT L6 IT Car3 L6b Lamp5 Lamp5 Lhx6 Micro/PVM OPC Oligo Pax6 Pvalb Sncg Sst Sst Chodl VLMC Vip,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Primary auditory cortex(A1),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e2808a6e-e2ea-41b9-b38c-4a08f1677f02.cxg/,https://datasets.cellxgene.cziscience.com/4e2221b4-c204-4c28-bc6a-dcdb73c0d856.h5ad,DOI: 10.1126/science.adf6812,,T,T,WithinArea_cluster,cell types,"abbreviations, normal",Astro_1 Astro_2 Astro_3 Chandelier_1 Endo_1 L2/3 IT_1 L2/3 IT_2 L2/3 IT_3 L2/3 IT_4 L4 IT_1 L4 IT_2 L4 IT_3 L4 IT_4 L4 IT_5 L5 ET_1 L5 ET_2 L5 IT_1 L5 IT_2 L5 IT_3 L5 IT_4 L5/6 NP_1 L5/6 NP_2 L5/6 NP_3 L5/6 NP_4 L6 CT_1 L6 IT Car3_1 L6 IT Car3_2 L6 IT_1 L6 IT_2 L6 IT_3 L6 IT_4 L6b_1 L6b_2 L6b_3 L6b_4 Lamp5 Lhx6_1 Lamp5 Lhx6_2 Lmpt5_1 Lmpt5_2 Lmpt5_3 Micro/PVM_1 OPC_1 Oligo_1 Oligo_2 Oligo_4 Pax6_1 Pax6_2 Pax6_3 Pax6_4 Pvalb_1 Pvalb_2 Pvalb_3 Pvalb_4 Pvalb_5 Pvalb_6 Pvalb_7 Pvalb_8 Pvalb_9 Sncg_1 Sncg_2 Sncg_3 Sncg_4 Sncg_5 Sncg_6 Sncg_7 Sncg_8 Sst Chodl_1 Sst Chodl_2 Sst_1 Sst_2 Sst_3 Sst_4 Sst_5 Sst_6 Sst_7 Sst_8 Sst_9 Sst_10 Sst_11 Sst_12 Sst_13 Sst_14 Sst_15 Sst_16 Sst_17 Sst_18 Sst_19 Sst_20 Sst_21 Sst_22 Sst_23 Sst_24 Sst_25 Sst_26 Sst_27 Sst_28 Sst_29 Sst_30 Sst_31 Sst_32 Sst_33 Sst_34 Sst_35 Sst_36 Sst_37 Sst_38 VLMC_1 Vip_1 Vip_2 Vip_3 Vip_4 Vip_5 Vip_6 Vip_7 Vip_8 Vip_9 Vip_10 Vip_11 Vip_12 Vip_13 Vip_14 Vip_15 Vip_16 Vip_17 Vip_18 Vip_19 Vip_20 Vip_21 Vip_22 Vip_23 Vip_24 Vip_25 Vip_26,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Primary auditory cortex(A1),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e2808a6e-e2ea-41b9-b38c-4a08f1677f02.cxg/,https://datasets.cellxgene.cziscience.com/4e2221b4-c204-4c28-bc6a-dcdb73c0d856.h5ad,DOI: 10.1126/science.adf6812,,T,T,Class,cell types,normal,excitatory inhibitory non-neuronal,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Primary auditory cortex(A1),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e2808a6e-e2ea-41b9-b38c-4a08f1677f02.cxg/,https://datasets.cellxgene.cziscience.com/4e2221b4-c204-4c28-bc6a-dcdb73c0d856.h5ad,DOI: 10.1126/science.adf6812,,T,T,Layer,other,"abbreviations, normal",All L5,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Primary auditory cortex(A1),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e2808a6e-e2ea-41b9-b38c-4a08f1677f02.cxg/,https://datasets.cellxgene.cziscience.com/4e2221b4-c204-4c28-bc6a-dcdb73c0d856.h5ad,DOI: 10.1126/science.adf6812,,T,T,Source,other,abbreviations,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Anterior cingulate cortex (ACC),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/be401db3-d732-408a-b0c4-71af0458b8ab.cxg/,https://datasets.cellxgene.cziscience.com/c662a5b4-2589-4829-965d-87f01f7b7c5f.h5ad,DOI: 10.1126/science.adf6812,,T,T,CrossArea_subclass,cell types,"abbreviations, normal",Astro Chandelier Endo L2/3 IT L4 IT L5 ET L5 IT L5/6 NP L6 CT L6 IT L6 IT Car3 L6b Lamp5 Lamp5 Lhx6 Micro/PVM OPC Oligo Pax6 Pvalb Sncg Sst Sst Chodl VLMC Vip,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Anterior cingulate cortex (ACC),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/be401db3-d732-408a-b0c4-71af0458b8ab.cxg/,https://datasets.cellxgene.cziscience.com/c662a5b4-2589-4829-965d-87f01f7b7c5f.h5ad,DOI: 10.1126/science.adf6812,,T,T,CrossArea_cluster,cell types,"abbreviations, normal",Astro_1 Astro_2 Astro_3 Astro_4 Astro_5 Chandelier_1 Endo_1 Endo_2 L2/3 IT_1 L2/3 IT_2 L2/3 IT_3 L2/3 IT_4 L2/3 IT_5 L2/3 IT_6 L4 IT_1 L4 IT_2 L5 ET_1 L5 ET_2 L5 IT_1 L5 IT_2 L5 IT_3 L5 IT_4 L5 IT_5 L5 IT_6 L5/6 NP_1 L5/6 NP_2 L5/6 NP_3 L5/6 NP_4 L5/6 NP_5 L5/6 NP_6 L6 CT_1 L6 CT_2 L6 CT_3 L6 IT Car3_1 L6 IT Car3_2 L6 IT_1 L6 IT_2 L6b_1 L6b_2 L6b_3 L6b_4 L6b_5 L6b_6 Lamp5 Lhx6_1 Lamp5_1 Lamp5_2 Lamp5_3 Lamp5_4 Lamp5_5 Lamp5_6 Lamp5_7 Micro/PVM_1 OPC_1 Oligo_1 Oligo_2 Oligo_3 Oligo_4 Pax6_1 Pax6_2 Pax6_3 Pax6_4 Pvalb_1 Pvalb_2 Pvalb_3 Pvalb_4 Pvalb_5 Pvalb_6 Pvalb_7 Pvalb_8 Pvalb_9 Sncg_1 Sncg_2 Sncg_3 Sncg_4 Sncg_5 Sncg_6 Sncg_7 Sncg_8 Sst Chodl_1 Sst_1 Sst_2 Sst_3 Sst_4 Sst_5 Sst_6 Sst_7 Sst_8 Sst_9 Sst_10 Sst_11 Sst_12 Sst_13 Sst_14 Sst_15 Sst_16 Sst_17 Sst_18 Sst_19 Sst_20 Sst_21 Sst_22 Sst_23 Sst_24 Sst_25 Sst_26 Sst_27 Sst_28 Sst_29 Sst_30 Sst_31 Sst_32 Sst_33 Sst_34 Sst_35 Sst_36 Sst_37 VLMC_1 VLMC_2 Vip_1 Vip_2 Vip_3 Vip_4 Vip_5 Vip_6 Vip_7 Vip_8 Vip_9 Vip_10 Vip_11 Vip_12 Vip_13 Vip_14 Vip_15 Vip_16 Vip_17 Vip_18 Vip_19 Vip_20 Vip_21 Vip_22 Vip_23 Vip_24 Vip_25 Vip_26 Vip_27 Vip_28 Vip_29,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Anterior cingulate cortex (ACC),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/be401db3-d732-408a-b0c4-71af0458b8ab.cxg/,https://datasets.cellxgene.cziscience.com/c662a5b4-2589-4829-965d-87f01f7b7c5f.h5ad,DOI: 10.1126/science.adf6812,,T,T,Class,cell types,normal,excitatory inhibitory non-neuronal,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Anterior cingulate cortex (ACC),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/be401db3-d732-408a-b0c4-71af0458b8ab.cxg/,https://datasets.cellxgene.cziscience.com/c662a5b4-2589-4829-965d-87f01f7b7c5f.h5ad,DOI: 10.1126/science.adf6812,,T,T,WithinArea_subclass,cell types,"abbreviations, normal",Astro Chandelier Endo L2/3 IT L4 IT L5 ET L5 IT L5/6 NP L6 CT L6 IT L6 IT Car3 L6b Lamp5 Lamp5 Lhx6 Micro/PVM OPC Oligo Pax6 Pvalb Sncg Sst Sst Chodl VLMC Vip,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Anterior cingulate cortex (ACC),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/be401db3-d732-408a-b0c4-71af0458b8ab.cxg/,https://datasets.cellxgene.cziscience.com/c662a5b4-2589-4829-965d-87f01f7b7c5f.h5ad,DOI: 10.1126/science.adf6812,,T,T,WithinArea_cluster,cell types,"abbreviations, normal",Astro_1 Astro_2 Astro_3 Chandelier_1 Endo_1 L2/3 IT_1 L2/3 IT_2 L2/3 IT_3 L2/3 IT_4 L2/3 IT_5 L2/3 IT_6 L4 IT_1 L4 IT_2 L4 IT_3 L5 ET_1 L5 IT_1 L5 IT_2 L5 IT_3 L5 IT_4 L5 IT_5 L5/6 NP_1 L5/6 NP_2 L5/6 NP_3 L6 CT_1 L6 IT Car3_1 L6 IT_1 L6 IT_2 L6b_1 L6b_2 L6b_3 L6b_4 Lamp5 Lhx6_1 Lmpt5_1 Lmpt5_2 Lmpt5_3 Micro/PVM_1 OPC_1 Oligo_1 Oligo_2 Oligo_3 Pax6_1 Pax6_2 Pax6_3 Pax6_4 Pvalb_1 Pvalb_2 Pvalb_3 Pvalb_4 Pvalb_5 Pvalb_6 Pvalb_7 Sncg_1 Sncg_2 Sncg_3 Sncg_4 Sncg_5 Sncg_6 Sncg_7 Sncg_8 Sncg_9 Sst Chodl_1 Sst Chodl_2 Sst_1 Sst_2 Sst_3 Sst_4 Sst_5 Sst_6 Sst_7 Sst_8 Sst_9 Sst_10 Sst_11 Sst_12 Sst_13 Sst_14 Sst_15 Sst_16 Sst_17 Sst_18 Sst_19 Sst_20 Sst_21 Sst_22 Sst_23 Sst_24 Sst_25 Sst_26 Sst_27 Sst_28 Sst_29 Sst_30 Sst_31 Sst_32 Sst_33 Sst_34 Sst_35 VLMC_1 Vip_1 Vip_2 Vip_3 Vip_4 Vip_5 Vip_6 Vip_7 Vip_8 Vip_9 Vip_10 Vip_11 Vip_12 Vip_13 Vip_14 Vip_15 Vip_16 Vip_17 Vip_18 Vip_19 Vip_20 Vip_21 Vip_22 Vip_23 Vip_24 Vip_25 Vip_26 Vip_27 Vip_28 Vip_29,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Anterior cingulate cortex (ACC),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/be401db3-d732-408a-b0c4-71af0458b8ab.cxg/,https://datasets.cellxgene.cziscience.com/c662a5b4-2589-4829-965d-87f01f7b7c5f.h5ad,DOI: 10.1126/science.adf6812,,T,T,Layer,other,"abbreviations, normal",All L5,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Dissection: Anterior cingulate cortex (ACC),Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/be401db3-d732-408a-b0c4-71af0458b8ab.cxg/,https://datasets.cellxgene.cziscience.com/c662a5b4-2589-4829-965d-87f01f7b7c5f.h5ad,DOI: 10.1126/science.adf6812,,T,T,Source,other,abbreviations,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Supercluster: CGE-derived interneurons,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e4ddac12-f48f-4455-8e8d-c2a48a683437.cxg/,https://datasets.cellxgene.cziscience.com/cf59a3de-b569-4b4c-aa4c-ff30c4f5fd90.h5ad,DOI: 10.1126/science.adf6812,,T,T,CrossArea_subclass,cell types,abbreviations,Lamp5 Lamp5 Lhx6 Pax6 Sncg Vip,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Supercluster: CGE-derived interneurons,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e4ddac12-f48f-4455-8e8d-c2a48a683437.cxg/,https://datasets.cellxgene.cziscience.com/cf59a3de-b569-4b4c-aa4c-ff30c4f5fd90.h5ad,DOI: 10.1126/science.adf6812,,T,T,CrossArea_cluster,cell types,abbreviations,Lamp5 Lhx6_1 Lamp5_1 Lamp5_2 Lamp5_3 Lamp5_4 Lamp5_5 Lamp5_6 Lamp5_7 Pax6_1 Pax6_2 Pax6_3 Pax6_4 Sncg_1 Sncg_2 Sncg_3 Sncg_4 Sncg_5 Sncg_6 Sncg_7 Sncg_8 Vip_1 Vip_2 Vip_3 Vip_4 Vip_5 Vip_6 Vip_7 Vip_8 Vip_9 Vip_10 Vip_11 Vip_12 Vip_13 Vip_14 Vip_15 Vip_16 Vip_17 Vip_18 Vip_19 Vip_20 Vip_21 Vip_22 Vip_23 Vip_24 Vip_25 Vip_26 Vip_27 Vip_28 Vip_29,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Supercluster: CGE-derived interneurons,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e4ddac12-f48f-4455-8e8d-c2a48a683437.cxg/,https://datasets.cellxgene.cziscience.com/cf59a3de-b569-4b4c-aa4c-ff30c4f5fd90.h5ad,DOI: 10.1126/science.adf6812,,T,T,WithinArea_subclass,cell types,abbreviation,Lamp5 Lamp5 Lhx6 Pax6 Sncg Vip,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Supercluster: CGE-derived interneurons,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/e4ddac12-f48f-4455-8e8d-c2a48a683437.cxg/,https://datasets.cellxgene.cziscience.com/cf59a3de-b569-4b4c-aa4c-ff30c4f5fd90.h5ad,DOI: 10.1126/science.adf6812,,T,T,WithinArea_cluster,cell types,abbreviations,Lamp5 Lhx6_1 Lamp5 Lhx6_2 Lamp5_1 Lamp5_2 Lamp5_3 Lamp5_4 Lamp5_5 Lamp5_6 Pax6_1 Pax6_2 Pax6_3 Pax6_4 Pax6_5 Sncg_2 Sncg_3 Sncg_4 Sncg_5 Sncg_6 Sncg_7 Sncg_8 Sncg_9 Vip_1 Vip_2 Vip_3 Vip_4 Vip_5 Vip_6 Vip_7 Vip_8 Vip_9 Vip_10 Vip_11 Vip_12 Vip_13 Vip_14 Vip_15 Vip_16 Vip_17 Vip_18 Vip_19 Vip_20 Vip_21 Vip_22 Vip_23 Vip_24 Vip_25 Vip_26 Vip_27 Vip_28 Vip_29 Vip_30 Vip_31,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
